"","ts52","ts51"
"1",5798788,798297
"2",5709092,509557.3
"3",10126170,2028162
"4",6083397,1101007
"5",6686543,1386927
"6",7259038,1702032
"7",8129198,2804108
"8",5521120,2279762
"9",5855705,2370144
"10",7628490,2476878
"11",5574046,2999714
"12",6945148,3694719
"13",5233866,3689482
"14",3536020,3873899
"15",8013568,3953953
"16",6825569,3438811
"17",5153140,5197475
"18",4126216,4971043
"19",4122009,5031119
"20",4963987,4318572
"21",3551889,4986302
"22",3152130,4606246
"23",4145968,4877819
"24",4550884,4801973
"25",4182978,5167028
"26",3267556,5854583
"27",4582988,5294369
"28",3262052,5980142
"29",3698710,5015537
"30",3589352,5189454
"31",3940517,4821648
"32",2262054,6405847
"33",3913697,5743391
"34",3728202,6036454
"35",3982244,5246413
"36",3246339,6140341
"37",2425574,5620674
"38",3217028,6875988
"39",4532376,6023143
"40",3924882,6190824
"41",3493461,5778914
"42",3386083,5853230
"43",2719036,5216532
"44",3684562,6107680
"45",2029240,5546950
"46",3275857,4569657
"47",4397885,5416749
"48",2519037,5230724
"49",2189836,3702499
"50",1842265,4833432
"51",2124495,4310369
"52",2060295,4467169
"53",3217152,3923452
"54",2277840,4451256
"55",2597907,3994728
"56",2755098,3993504
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
